"Parameter";"Id_Pro_or";"Id_Pro_new";"spi_mean";"spi_se_mean_sd";"spi_sd";"spi_2_5";"spi_25";"spi_50";"spi_75";"spi_97_5";"spi_n_eff";"spi_rhat";"spiper_mean";"spiper_se_mean_sd";"spiper_sd";"spiper_2_5";"spiper_25";"spiper_50";"spiper_75";"spiper_97_5";"spiper_n_eff";"spiper_rhat";"harmonic_mean"
"theta[1]";1;1;-1,23;9,0e-03;0,31;-1,84;-1,44;-1,23;-1,02;-0,63;1131,44;1,00;-1,07;0,01;0,30;-1,65;-1,27;-1,07;-0,87;-0,46;823,39;1,00;"2,453"
"theta[2]";2;2;-0,79;0,01;0,39;-1,55;-1,05;-0,78;-0,53;-0,02;1221,08;1,00;-0,60;0,01;0,38;-1,37;-0,86;-0,60;-0,34;0,11;988,83;1,00;"2,671"
"theta[3]";3;3;-0,50;9,0e-03;0,31;-1,13;-0,71;-0,51;-0,29;0,11;1103,55;1,00;-0,43;0,01;0,30;-1,02;-0,63;-0,42;-0,22;0,17;826,34;1,00;"3,136"
"theta[4]";11;4;-1,02;0,01;0,34;-1,69;-1,25;-1,02;-0,78;-0,35;1179,90;1,00;-1,11;0,01;0,32;-1,78;-1,33;-1,11;-0,90;-0,48;824,36;1,00;"2,858"
"theta[5]";13;5;1,44;0,01;0,35;0,73;1,19;1,44;1,68;2,14;1392,90;1,00;1,30;0,01;0,35;0,61;1,07;1,30;1,54;1,99;1118,27;1,00;"3,766"
"theta[6]";15;6;-0,54;0,01;0,31;-1,18;-0,76;-0,54;-0,33;0,06;1008,16;1,00;-0,42;0,01;0,30;-1,03;-0,62;-0,42;-0,20;0,16;517,53;1,00;"3,174"
"theta[7]";16;7;0,25;0,01;0,36;-0,48;8,0e-03;0,26;0,48;0,96;1343,82;1,00;0,25;0,01;0,34;-0,41;0,02;0,26;0,49;0,94;1004,29;1,00;"3,276"
"theta[8]";20;8;1,23;0,01;0,59;0,05;0,82;1,24;1,63;2,39;2955,81;1,00;1,28;0,01;0,58;0,15;0,88;1,28;1,68;2,42;2004,86;1,00;"3,782"
"theta[9]";26;9;0,61;0,01;0,52;-0,40;0,23;0,60;0,96;1,68;1868,54;1,00;0,17;0,01;0,51;-0,77;-0,17;0,17;0,52;1,18;1203,91;1,00;"3,449"
"theta[10]";29;10;0,71;9,0e-03;0,33;0,08;0,48;0,70;0,93;1,36;1315,36;1,00;0,73;0,01;0,30;0,14;0,52;0,73;0,94;1,34;890,75;1,00;"3,583"
"theta[11]";30;11;-1,62;0,01;0,36;-2,33;-1,86;-1,61;-1,37;-0,93;1219,45;1,00;-1,57;0,01;0,34;-2,28;-1,80;-1,58;-1,34;-0,89;887,41;1,00;"2,477"
"theta[12]";34;12;1,02;8,0e-03;0,32;0,39;0,79;1,02;1,23;1,64;1516,48;1,00;0,76;0,01;0,32;0,11;0,54;0,76;0,98;1,42;981,53;1,00;"3,691"
"theta[13]";35;13;0,34;0,01;0,47;-0,55;0,01;0,33;0,65;1,30;1703,52;1,00;0,28;0,01;0,44;-0,58;-0,01;0,27;0,58;1,15;1001,73;1,00;"3,44"
"theta[14]";40;14;0,25;0,01;0,48;-0,72;-0,06;0,24;0,58;1,19;1706,87;1,00;0,24;0,01;0,48;-0,70;-0,08;0,24;0,56;1,19;1264,16;1,00;"3,192"
"theta[15]";43;15;0,45;0,01;0,36;-0,26;0,21;0,45;0,70;1,19;1183,46;1,00;0,55;0,01;0,35;-0,12;0,31;0,55;0,79;1,24;1072,02;1,00;"3,526"
"theta[16]";51;16;-0,73;0,01;0,47;-1,65;-1,06;-0,73;-0,41;0,21;1613,61;1,00;-1,03;0,01;0,46;-1,95;-1,34;-1,04;-0,71;-0,12;1093,52;1,00;"2,845"
"theta[17]";57;17;1,80;0,01;0,51;0,81;1,46;1,80;2,15;2,80;2466,53;1,00;1,94;0,01;0,49;1,01;1,60;1,94;2,27;2,92;2080,98;1,00;"3,879"
"theta[18]";59;18;-0,49;9,0e-03;0,33;-1,13;-0,73;-0,49;-0,27;0,16;1225,69;1,00;-0,41;0,01;0,31;-1,03;-0,63;-0,42;-0,20;0,22;800,06;1,00;"3,118"
"theta[19]";62;19;0,80;0,01;0,49;-0,15;0,46;0,79;1,15;1,77;1599,06;1,00;0,82;0,01;0,48;-0,11;0,50;0,81;1,14;1,79;1291,58;1,00;"3,64"
"theta[20]";74;20;-0,48;9,0e-03;0,33;-1,13;-0,70;-0,48;-0,25;0,20;1382,76;1,00;-0,14;0,01;0,32;-0,77;-0,36;-0,14;0,07;0,51;793,44;1,00;"2,92"
"theta[21]";77;21;0,26;0,01;0,45;-0,65;-0,03;0,27;0,57;1,14;1808,67;1,00;0,55;0,01;0,44;-0,30;0,24;0,55;0,85;1,40;1236,74;1,00;"3,396"
"theta[22]";84;22;0,23;0,01;0,51;-0,78;-0,11;0,23;0,58;1,23;2092,94;0,99;0,21;0,01;0,52;-0,85;-0,12;0,22;0,57;1,21;1441,70;1,00;"3,363"
"theta[23]";90;23;-0,31;9,0e-03;0,30;-0,90;-0,51;-0,31;-0,10;0,27;1245,53;1,00;-0,35;0,01;0,30;-0,96;-0,56;-0,34;-0,13;0,23;790,91;1,00;"3,266"
"theta[24]";91;24;-0,89;0,01;0,50;-1,87;-1,23;-0,90;-0,56;0,09;1782,78;1,00;-1,00;0,01;0,49;-1,98;-1,33;-1,02;-0,67;-0,03;768,14;1,00;"2,512"
"theta[25]";93;25;0,07;9,0e-03;0,32;-0,56;-0,14;0,07;0,29;0,70;1252,08;1,00;0,19;0,01;0,31;-0,41;-0,02;0,19;0,39;0,81;906,72;1,00;"3,28"
"theta[26]";110;26;1,48;0,01;0,47;0,55;1,16;1,48;1,80;2,41;2519,88;1,00;1,28;0,01;0,47;0,36;0,96;1,29;1,60;2,21;1496,60;1,00;"3,715"
"theta[27]";113;27;1,75;0,01;0,53;0,71;1,39;1,77;2,11;2,81;2638,05;1,00;1,82;0,01;0,53;0,78;1,45;1,81;2,17;2,86;1836,71;1,00;"3,864"
"theta[28]";122;28;0,13;0,01;0,49;-0,83;-0,18;0,12;0,46;1,13;1542,12;0,99;-0,31;0,01;0,47;-1,25;-0,63;-0,31;9,0e-03;0,59;1281,22;1,00;"3,173"
"theta[29]";124;29;0,88;9,0e-03;0,31;0,29;0,67;0,89;1,09;1,49;1196,27;1,00;0,78;0,01;0,30;0,20;0,57;0,78;0,99;1,39;952,20;1,00;"3,647"
"theta[30]";125;30;-0,06;8,0e-03;0,26;-0,59;-0,24;-0,06;0,11;0,43;1216,31;1,00;-0,20;9,0e-03;0,25;-0,70;-0,38;-0,20;-0,03;0,30;775,76;1,00;"3,34"
"theta[31]";126;31;0,75;9,0e-03;0,35;0,03;0,52;0,76;0,99;1,43;1505,28;1,00;0,71;0,01;0,35;0,03;0,47;0,71;0,95;1,40;1071,88;1,00;"3,594"
"theta[32]";127;32;0,62;0,01;0,52;-0,40;0,26;0,62;0,98;1,63;2007,74;1,00;0,52;0,01;0,50;-0,47;0,19;0,52;0,87;1,50;1663,45;1,00;"3,578"
"theta[33]";134;33;-0,69;0,01;0,42;-1,49;-0,98;-0,70;-0,40;0,14;1300,41;1,00;-0,50;0,01;0,42;-1,31;-0,78;-0,50;-0,20;0,32;887,96;1,00;"2,887"
"theta[34]";136;34;-0,29;0,01;0,52;-1,30;-0,64;-0,28;0,05;0,72;1820,71;1,00;-0,28;0,01;0,50;-1,27;-0,62;-0,27;0,05;0,68;1204,75;1,00;"2,982"
"theta[35]";141;35;-0,42;0,01;0,47;-1,33;-0,75;-0,42;-0,10;0,53;1792,45;1,00;-0,68;0,01;0,47;-1,61;-0,99;-0,67;-0,35;0,26;1258,47;1,00;"3,008"
"theta[36]";143;36;1,42;0,01;0,56;0,31;1,03;1,43;1,79;2,52;2579,12;1,00;1,27;0,01;0,55;0,18;0,91;1,28;1,64;2,37;1737,59;1,00;"3,783"
"theta[37]";156;37;1,00;0,01;0,44;0,14;0,70;1,00;1,29;1,87;1989,88;1,00;0,91;0,01;0,42;0,09;0,63;0,92;1,20;1,72;1316,15;1,00;"3,656"
"theta[38]";164;38;-0,77;0,01;0,44;-1,65;-1,07;-0,77;-0,48;0,07;1008,79;1,00;-0,77;0,01;0,42;-1,62;-1,06;-0,77;-0,48;0,03;1050,30;1,00;"2,825"
"theta[39]";168;39;0,40;0,01;0,37;-0,33;0,15;0,41;0,65;1,14;1052,06;1,00;0,41;0,01;0,38;-0,32;0,16;0,41;0,66;1,15;988,62;1,00;"3,56"
"theta[40]";170;40;-0,65;0,01;0,37;-1,39;-0,91;-0,65;-0,41;0,07;1069,80;1,00;-0,53;0,01;0,35;-1,23;-0,77;-0,52;-0,29;0,14;799,80;1,00;"3,066"
"theta[41]";172;41;0,87;8,0e-03;0,29;0,30;0,67;0,87;1,07;1,43;1178,35;1,00;0,92;0,01;0,28;0,36;0,74;0,92;1,11;1,47;859,23;1,00;"3,662"
"theta[42]";174;42;0,39;0,01;0,50;-0,57;0,04;0,39;0,73;1,41;1962,52;1,00;0,42;0,01;0,51;-0,55;0,07;0,42;0,76;1,44;1460,20;1,00;"3,498"
"theta[43]";177;43;-0,41;0,01;0,35;-1,08;-0,66;-0,42;-0,17;0,27;956,82;1,00;-0,24;0,01;0,34;-0,95;-0,47;-0,24;-0,01;0,42;808,36;1,00;"3,267"
"theta[44]";178;44;1,36;0,01;0,60;0,21;0,95;1,35;1,76;2,51;3129,91;1,00;1,41;0,01;0,59;0,28;1,01;1,39;1,80;2,61;2090,98;1,00;"3,797"
"theta[45]";182;45;-0,90;0,01;0,32;-1,55;-1,11;-0,90;-0,68;-0,25;1087,62;1,00;-0,70;0,01;0,31;-1,31;-0,91;-0,71;-0,49;-0,09;650,55;1,01;"2,945"
"theta[46]";191;46;0,65;0,01;0,51;-0,33;0,30;0,65;1,00;1,70;1785,29;1,00;0,68;0,01;0,52;-0,33;0,32;0,68;1,04;1,69;1111,90;1,00;"3,639"
"theta[47]";194;47;1,07;0,01;0,38;0,32;0,81;1,08;1,33;1,83;1477,96;1,00;1,16;0,01;0,37;0,44;0,91;1,17;1,41;1,92;1034,81;1,00;"3,562"
"theta[48]";196;48;-0,25;0,01;0,45;-1,14;-0,56;-0,25;0,05;0,65;1613,46;1,00;-0,64;0,01;0,44;-1,49;-0,95;-0,65;-0,34;0,22;1075,13;1,00;"3,277"
"theta[49]";198;49;0,07;9,0e-03;0,33;-0,59;-0,14;0,07;0,28;0,73;1307,28;1,00;0,32;0,01;0,32;-0,31;0,10;0,31;0,54;0,95;879,00;1,00;"3,169"
"theta[50]";200;50;1,11;9,0e-03;0,41;0,29;0,82;1,11;1,39;1,93;1919,76;1,00;1,01;0,01;0,40;0,21;0,74;1,01;1,28;1,80;1366,25;1,00;"3,57"
"theta[51]";203;51;-1,66;0,01;0,25;-2,15;-1,83;-1,66;-1,48;-1,16;745,45;1,00;-1,52;0,01;0,24;-2,01;-1,68;-1,52;-1,35;-1,03;605,97;1,01;"2,713"
"theta[52]";210;52;-0,60;0,01;0,45;-1,50;-0,91;-0,59;-0,29;0,24;1512,40;1,00;-0,60;0,01;0,44;-1,46;-0,91;-0,60;-0,30;0,26;897,38;1,00;"2,864"
"theta[53]";221;53;-0,89;0,01;0,47;-1,79;-1,22;-0,89;-0,58;0,05;1486,40;1,00;-0,69;0,01;0,45;-1,59;-0,99;-0,68;-0,38;0,20;1210,94;1,00;"2,846"
"theta[54]";228;54;0,32;8,0e-03;0,28;-0,21;0,13;0,32;0,51;0,89;1119,96;1,00;0,24;0,01;0,28;-0,30;0,04;0,23;0,44;0,79;878,85;1,00;"3,486"
"theta[55]";229;55;0,99;0,01;0,43;0,11;0,69;0,99;1,28;1,82;1768,48;1,00;1,00;0,01;0,41;0,19;0,73;1,00;1,28;1,82;1323,42;1,00;"3,672"
"theta[56]";230;56;-1,36;0,01;0,45;-2,26;-1,67;-1,35;-1,06;-0,47;1489,09;1,00;-1,33;0,01;0,42;-2,16;-1,62;-1,34;-1,04;-0,48;1036,07;1,00;"2,236"
"theta[57]";231;57;1,11;0,01;0,65;-0,16;0,67;1,11;1,54;2,39;2864,66;1,00;0,96;0,01;0,63;-0,29;0,53;0,95;1,39;2,22;2001,67;1,00;"3,792"
"theta[58]";236;58;0,62;9,0e-03;0,33;-0,04;0,40;0,62;0,84;1,28;1265,63;1,00;0,51;0,01;0,32;-0,12;0,29;0,51;0,74;1,14;831,06;1,00;"3,608"
"theta[59]";237;59;0,06;0,01;0,29;-0,51;-0,13;0,06;0,26;0,63;935,58;1,00;0,29;0,01;0,28;-0,26;0,10;0,29;0,49;0,83;896,00;1,00;"3,418"
"theta[60]";239;60;-0,17;0,01;0,44;-1,03;-0,48;-0,17;0,12;0,69;1709,69;1,00;0,12;0,01;0,44;-0,74;-0,16;0,12;0,42;1,01;1152,46;1,00;"3,181"
"theta[61]";246;61;0,04;0,01;0,48;-0,92;-0,29;0,04;0,38;0,98;1922,22;1,00;0,04;0,01;0,48;-0,90;-0,28;0,04;0,35;0,97;1182,31;1,00;"3,465"
"theta[62]";247;62;0,89;0,01;0,57;-0,25;0,49;0,90;1,28;2,02;2250,40;1,00;0,89;0,01;0,57;-0,22;0,49;0,89;1,28;2,02;1792,72;1,00;"3,668"
"theta[63]";251;63;0,18;0,01;0,41;-0,62;-0,09;0,18;0,46;1,00;1337,36;1,00;0,14;0,01;0,40;-0,64;-0,14;0,14;0,41;0,92;843,95;1,00;"3,338"
"theta[64]";253;64;0,67;0,01;0,36;-0,02;0,43;0,67;0,91;1,37;1411,10;1,00;0,69;0,01;0,36;-0,02;0,44;0,69;0,95;1,41;830,37;1,00;"3,589"
"theta[65]";263;65;1,41;0,01;0,53;0,39;1,05;1,41;1,77;2,47;2490,11;1,00;1,26;0,01;0,52;0,27;0,92;1,26;1,61;2,31;1734,08;1,00;"3,782"
