"Id_Student"; " Student_sex ";" Carrer ";" Number_Enrollment ";" Number_Repetition ";" Self_Perfomance ";" Group ";" Id_Course ";" Id_Carrer ";" Id_Subject ";" Shared ";" Id_Professor ";" Professor_sex ";" Department ";" C_12 ";" C_13 ";" C_14 ";" C_15 ";" C_16 ";" C_17 ";" C_18 ";" C_19 ";" C_20 ";" C_21 ";" C_22 ";" C_23 ";" C_24 ";" C_25 ";" C_26 ";" C_27 ";" C_28 ";" C_29 ";" C_30 ";" C_31 ";" C_32 ";" C_33 ";" C_34 ";" C_35 ";" C_36_Strength ";" C37_Weaknesses "
3108; 0; " Business Administration "; 10; 2; 3; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 4; 5; 5; 5; 5; 4; 4; 4; 4; 4; 3; 4; 4; 2; 3; 4; 4; 4; 3; 2; 1; 4; 4;" Ability to make understandable the issues that for many are complicated, relating to everyday cases ";" DEBRIA give a percentage to exercises and/or QUICES "
3125; 1; " Business Administration "; 10; 2; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 5; 5; 5; 5; 4; 5; 5; 5; 5; 5; 1; 1; 4; 1; 2; 1; 1; 3; 5; 4; 2; 1; 5; 5;" Has charisma ";" I don't teach statistical programs "
3123; 1; " Business Administration "; 5; 1; 5; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 3; 4; 1; 4; 4; 2; 3; 4; 1; 1; 4; 4; 3; 5; 4; 4; 4; 4; 2; 2; 4; 4;" The teacher has a good ability to analyze and keeps the class alert and awake ";" The subject is a bit objective and not very focused on the economy "
3122; 1; " Business Administration "; 4; 1; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 5; 5; 1; 5; 5; 4; 4; 4; 3; 1; 4; 5; 5; 3; 5; 5; 5; 5; 2; 2; 4; 4;" The joy with which the class dictates ";" It may be deflected of the subject in some moments "
3121; 1; " Business Administration "; 3; 1; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 3; 4; 5; 5; 4; 3; 4; 4; 4; 3; 4; 1; 3; 3; 2; 3; 3; 4; 4; 3; 2; 1; 4; 4;" It is clear in the explanations ";" It's not serious. "
3149; 1; " Business Administration "; 5; 2; 4; 19; 520; 1; 248; 0; 522; 1;" Statistics "; 4; 4; 3; 4; 2; 4; 4; 3; 4; 4; 2; 2; 3; 3; 1; 2; 3; 1; 1; 1; 2; 1; 4; 4;" Share cases of application of some theoretical aspects of matter ";" Lack of organization in the presentation of the topics "
3126; 1; " Business Administration "; 12; 2; 3; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 5; 5; 5; 5; 4; 5; 4; 3; 3; 4; 1; 3; 5; 5; 1; 5; 5; 4; 4; 4; 2; 1; 5; 4;" The teacher gives a lot of support to the students with difficulty ";" Leave some important topics for research and do not explain it in depth "
3166; 0; " Business Administration "; 8; 3; 3; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 5; 5; 5; 5; 5; 3; 4; 3; 4; 4; 5; 3; 5; 5; 5; 5; 4; 4; 3; 2; 1; 4; 4;" Endeavor, open to listening to the students ";" Lack of security when exposing topics "
3167; 0; " Business Administration "; 10; 1; 4; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 5; 4; 5; 5; 4; 4; 2; 1; 4; 4; 1; 4; 5; 5; 4; 5; 4; 4; 3; 2; 1; 4; 3;" Proactive, friendly, strives to prepare the class ";" The use of the statistics in ADMIN is restricted, at the beginning of the thematic the use of the Videobeam was inconvenient, since the examples DEBIAN be more practical "
3105; 0; " Business Administration "; 5; 1; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 4; 4; 4; 4; 4; 4; 4; 4; 4; 3; 4; 4; 4; 4; 4; 4; 4; 4; 4; 2; 1; 4; 4;" Passion, COMPRENSIO, clear language ";" Lack of monitoria support and development of workshops in a permanent and compulsory way "
3124; 1; " Business Administration "; 9; 3; 3; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 5; 4; 2; 3; 5; 3; 3; 3; 3; 2; 4; 2; 1; 3; 2; 4; 4; 3; 2; 1; 4; 4;" It is calre in the subjects, and it develops the important topics ";
3107; 0; " Business Administration "; 7; 1; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 5; 5; 5; 5; 5; 5; 4; 4; 3; 4; 4; 1; 4; 3; 1; 1; 1; 4; 5; 4; 2; 2; 5; 4;" He was always attentive to suggestions and doubts, always looking for a way to leave all the contents clear ";" I miss a little more relationship with my career "
3110; 0; " Business Administration "; 11; 2; 4; 17; 519; 1; 248; 0; 522; 1;" Statistics "; 4; 5; 5; 5; 3; 5; 5; 4; 5; 5; 1; 2; 5; 5; 5; 3; 5; 4; 3; 2; 2; 1; 5; 5;" He worries that all students will understand even if he has to repeat several times, he makes review of previous classes so that we all progress with good results ";" I really think it's an excellent teacher "
3148; 1; " Business Administration "; 5; 1; 4; 19; 520; 1; 248; 0; 522; 1;" Statistics "; 4; 4; 5; 4; 3; 4; 4; 4; 4; 5; 1; 1; 4; 4; 3; 2; 2; 3; 2; 1; 2; 2; 4; 4;;
3175; 1; " Business Administration "; 5; 1; 3; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 5; 4; 4; 3; 4; 3; 3; 4; 3; 3; 3; 3; 4; 5; 4; 3; 4; 5; 3; 2; 1; 4; 4;;
3176; 1; " Business Administration "; 6; 2; 4; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 5; 3; 3; 4; 2; 2; 1; 3; 4; 1; 1; 1; 1; 3; 5; 3; 1; 4; 4; 4; 2; 1; 2; 3;;" Too many slides, just read the slides "
3177; 1; " Business Administration "; 8; 2; 4; 20; 521; 1; 248; 0; 457; 0;" Statistics "; 4; 4; 5; 4; 4; 4; 3; 3; 3; 3; 4; 2; 4; 3; 4; 3; 3; 3; 3; 3; 1; 1; 3; 4;;
