"Student";"SelfPerf";"stud_diff_prof_no_perf";"stud_diff_prof_perf";"Professor";"prof_no_perf";"prof_perf";"harmonic_mean";"Subject";"sub_no_perf";"sub_perf";"stud_diff_subj_no_perf";"stud_diff_subj_perf";"C_12";"C_13";"C_14";"C_15";"C_16";"C_17";"C_18";"C_19";"C_20";"C_21";"C_22";"C_23";"C_24";"C_25";"C_26";"C_27";"C_28";"C_29";"C_30";"C_31";"C_32";"C_33";"C_34";"C_35";"C_36_Strength";"c37_Weaknesses";"student_sex";"Id_Fingerprint";"Id_Carrer";"Number_Enrollment";"Number_Repetition";"Number_Lost";"Id_Course";"Group";"Shared";"professor_sex";"Vinculacion";"Fecha_Ingreso";"professor_cat";"professor_dedic";"Professor_Dept"
1;3;-0,82;-1,08;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;1,74;1,17;4;4;4;4;4;4;3;2;3;2;3;3;3;3;4;4;4;3;3;3;2;2;4;2;"APASIONADO CON SUS TEMAS Y DISPUESTO A AYUDAR A LOS ESTUDIANTES EN LO QUE NECESITE, CUENTA CON MUCHA EXPERIENCIA, LO QUE TRANSMITECON FACILIDAD A LOS ESTUDIANTES";"EL HORARIO Y QUE ES LA UNICA ASIGNATURA DEL PLAN QUE TRABAJA ESTOS TEMAS, LO QUE HACE DIFICIL SU INCLUSION EN EL PERFIL PROFESIONAL";0;50;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
2;4;-0,61;-0,48;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;1,74;1,87;3;3;4;4;4;4;2;2;3;2;4;3;3;4;4;4;4;4;3;4;2;2;4;2;"EJEMPLIFICA CON SUCESOS COTIDIANOS Y HACE UN USO ADECUADO DE LAS HERRAMIENTAS INFORMATICAS";"LOS CONTENIDOS DEBERIAN EXPLICARSE MEJOR Y DE FORMA MAS CLARA";0;51;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
3;3;0,46;0,17;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;3,99;3,38;3;4;4;4;4;4;1;1;2;1;1;3;3;2;4;3;3;3;3;3;2;2;3;1;"EL DOCENTE TIENE EL CONOCIMIENTO NECESARIO PARA DAR LA ASIGNATURA";"LA ASIGNATURA ´LANTEA UN PROGRAMA QUE SE CUMPLE PERO NO NECESARIAMENTE SE ENTIENDE";0;62;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
4;4;-0,55;-0,41;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;0,08;0,25;3;4;4;4;4;4;3;3;3;3;3;4;3;3;4;4;4;4;4;3;2;2;3;3;;;0;63;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
5;3;0,38;0,11;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;0,11;-0,38;3;3;4;4;4;4;3;4;3;3;1;2;3;4;4;3;2;3;3;3;2;2;3;2;;;0;69;5;7;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
6;4;-1,27;-1,13;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;-1,23;-1,01;4;4;4;4;4;4;3;4;4;3;4;3;4;4;4;4;4;3;3;2;2;1;3;3;"QUE ESTIMULA LA CAPACIDAD ANALITICA";;0;70;5;7;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
7;4;0,07;0,20;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;0,59;0,77;3;3;3;4;4;3;2;3;3;2;4;3;3;4;4;4;4;4;4;3;2;2;3;3;"PROMUEVE EL TRABAJO EN GRUPO Y LA AUTONOMIA Y RESPONSABILIDAD CON EL TRABAJO. ES LA UNICA MATERIA QUE BRINDA ESTE TIPO DE CONOCIMIENTOS";"EL HORARIO ES BASTANTE LARGO";1;1096;5;4;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
8;3;1,06;0,78;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;1,13;0,56;3;4;4;3;3;3;2;3;2;2;1;2;2;3;4;3;3;4;4;4;2;2;3;3;"TIENE UN GRAN CONOCIMIENTO DEL TEMA";"NO DEJA MUY CLARAS LAS COSAS A VECES ES ALGO CONFUSO";1;1108;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
9;4;0,91;1,03;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;0,08;0,27;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;3;;;1;1109;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
10;4;-0,07;0,05;43;-0,41;-0,24;"3,267";5;-1,74;-1,51;-0,55;-0,36;3;4;4;4;4;4;3;3;4;3;3;2;3;3;4;3;4;3;4;4;2;2;3;3;"SE PREOCUPA PORQUE LOS ESTUDIANTES ENTIENDAN TODOS LOS PROCESOS Y SISTEMAS QUE SE RELACIONAN CON LOS PROYECTOS DEL SEMESTRE";"DEBERIA LLEVAR MAS CONTROLES EN EL TIEMPO DE ENTREGAS DE AVANCES DEL PROYECTO PARA EVITAR QUE HACIA EL FINAL DEL SEMESTRE SE ESTE ATRASADO CON ESTE";1;1109;5;6;1;0;34;1;0;1;"PLANTA";"25/8/1975 0:00:00";"ASOCIADO";"EXCLUSIVA";"BIOLOGIA"
