"Student";"Subject";"Y_sub";"SelfPerf_su";"Item"
1;5;2;3;1
2;5;2;4;1
3;5;1;3;1
4;5;3;4;1
5;5;4;3;1
6;5;4;4;1
7;5;3;4;1
8;5;3;3;1
9;5;3;4;1
10;5;3;4;1
11;5;3;3;1
12;5;3;3;1
13;5;4;5;1
14;11;4;4;1
15;11;3;3;1
16;11;4;4;1
17;11;4;4;1
18;11;3;4;1
19;11;4;4;1
20;11;4;3;1
21;11;3;4;1
22;11;2;4;1
23;11;2;4;1
24;11;4;4;1
25;11;3;4;1
26;12;3;4;1
27;12;3;3;1
28;12;4;4;1
29;12;4;4;1
30;12;3;4;1
31;12;3;4;1
32;12;4;4;1
33;12;3;3;1
34;12;3;4;1
35;12;4;4;1
36;12;4;4;1
37;12;4;3;1
38;14;3;3;1
39;14;2;4;1
40;14;3;4;1
41;14;3;4;1
42;14;2;3;1
43;14;4;3;1
44;14;3;4;1
45;14;3;4;1
46;14;3;3;1
47;14;3;4;1
48;14;2;4;1
49;14;3;4;1
50;14;3;4;1
51;14;4;4;1
52;14;3;4;1
53;14;3;4;1
54;34;3;3;1
55;34;4;4;1
56;34;4;3;1
57;34;4;4;1
58;34;3;4;1
59;34;3;3;1
60;46;4;4;1
61;46;4;4;1
62;46;3;4;1
63;46;3;4;1
64;46;3;4;1
65;46;3;4;1
66;46;3;4;1
67;46;4;4;1
68;46;3;3;1
69;46;4;2;1
70;46;3;4;1
71;46;3;4;1
72;46;4;4;1
73;46;2;1;1
74;46;4;3;1
75;46;4;3;1
76;46;3;4;1
77;46;2;3;1
78;46;3;4;1
79;46;4;4;1
80;56;3;4;1
81;56;4;4;1
82;56;4;4;1
83;56;4;4;1
84;56;3;4;1
85;56;4;3;1
86;75;2;4;1
87;75;3;4;1
88;75;3;5;1
89;75;4;5;1
90;75;4;4;1
91;75;4;4;1
92;75;2;4;1
93;75;4;4;1
94;75;2;4;1
95;75;2;4;1
96;75;4;4;1
97;75;4;5;1
98;75;4;5;1
99;75;4;4;1
100;75;3;4;1
101;75;4;5;1
102;75;4;4;1
103;75;3;4;1
104;76;4;4;1
105;76;3;4;1
106;76;3;4;1
107;76;4;5;1
108;76;3;4;1
109;76;4;4;1
110;76;4;5;1
111;76;2;4;1
112;76;4;4;1
113;76;4;4;1
114;76;4;3;1
115;76;4;4;1
116;76;3;4;1
117;76;4;5;1
118;76;4;4;1
119;76;3;4;1
120;76;3;4;1
121;83;4;4;1
122;83;4;5;1
123;83;4;4;1
124;83;4;4;1
125;83;4;5;1
126;2;3;3;1
127;2;4;3;1
128;2;4;4;1
129;2;4;4;1
130;2;3;3;1
131;2;3;4;1
132;2;4;3;1
133;2;3;3;1
134;27;4;4;1
135;27;3;4;1
136;27;4;4;1
137;27;4;4;1
138;27;4;3;1
139;27;3;4;1
140;27;4;4;1
141;27;4;5;1
142;27;4;4;1
143;27;4;3;1
144;27;3;4;1
145;72;4;3;1
146;72;3;4;1
147;72;4;4;1
148;72;2;4;1
149;72;4;4;1
150;72;2;4;1
151;72;4;4;1
152;72;4;5;1
153;72;4;5;1
154;72;3;3;1
155;72;2;3;1
156;72;4;3;1
157;72;4;4;1
158;72;4;4;1
159;72;4;4;1
160;72;3;5;1
161;73;3;4;1
162;73;4;4;1
163;73;4;5;1
164;73;4;5;1
165;73;4;3;1
166;73;2;4;1
167;73;3;4;1
168;73;4;4;1
169;73;4;4;1
170;73;4;4;1
171;73;4;5;1
172;79;4;4;1
173;79;3;4;1
174;79;4;4;1
175;79;4;4;1
176;79;2;4;1
177;79;4;3;1
178;79;3;3;1
179;79;3;4;1
180;79;3;4;1
181;79;4;4;1
182;79;3;4;1
183;79;2;3;1
184;81;4;4;1
185;81;4;5;1
186;81;3;3;1
187;81;4;4;1
188;81;3;4;1
189;82;4;4;1
190;82;4;4;1
191;82;3;4;1
192;82;4;4;1
193;82;4;5;1
194;82;4;4;1
195;82;4;4;1
196;82;3;5;1
197;82;4;3;1
198;82;4;4;1
199;96;4;5;1
200;96;4;4;1
201;96;4;4;1
202;96;4;4;1
203;96;4;5;1
204;96;4;5;1
205;96;4;4;1
206;96;2;3;1
207;96;4;4;1
208;96;4;5;1
209;96;3;2;1
210;96;3;4;1
211;96;4;4;1
212;96;3;4;1
213;96;4;4;1
214;96;4;3;1
215;96;3;4;1
216;96;3;4;1
217;97;4;4;1
218;97;4;4;1
219;97;2;4;1
220;97;2;4;1
221;97;4;4;1
222;97;1;4;1
223;97;4;5;1
224;97;3;4;1
225;97;4;4;1
226;98;4;4;1
227;98;4;4;1
228;98;4;4;1
229;98;4;4;1
230;98;4;5;1
231;98;4;4;1
232;98;4;5;1
233;98;4;3;1
234;98;3;4;1
235;110;3;3;1
236;110;2;4;1
237;110;4;4;1
238;110;2;3;1
239;110;4;2;1
240;110;4;3;1
241;110;3;4;1
242;111;4;3;1
243;111;4;4;1
244;111;3;4;1
245;111;4;4;1
246;111;3;5;1
247;111;4;3;1
248;111;3;2;1
249;111;4;3;1
250;111;3;3;1
251;111;3;4;1
252;111;3;4;1
253;111;4;3;1
254;111;3;4;1
255;111;3;4;1
256;111;4;4;1
257;111;4;4;1
258;111;4;4;1
259;111;4;4;1
260;111;4;5;1
261;111;4;5;1
262;112;4;3;1
263;112;3;5;1
264;112;4;5;1
265;112;2;4;1
266;112;2;4;1
267;112;4;5;1
268;112;4;4;1
269;112;3;4;1
270;112;3;4;1
271;112;3;4;1
272;112;4;4;1
273;112;4;4;1
