"Id_Pro_or";"Id_Pro_new"
1;1
2;2
3;3
11;4
13;5
15;6
16;7
20;8
26;9
29;10
30;11
34;12
35;13
40;14
43;15
51;16
57;17
59;18
62;19
74;20
77;21
84;22
90;23
91;24
93;25
110;26
113;27
122;28
124;29
125;30
126;31
127;32
134;33
136;34
141;35
143;36
156;37
164;38
168;39
170;40
172;41
174;42
177;43
178;44
182;45
191;46
194;47
196;48
198;49
200;50
203;51
210;52
221;53
228;54
229;55
230;56
231;57
236;58
237;59
239;60
246;61
247;62
251;63
253;64
263;65
265;66
268;67
275;68
279;69
294;70
301;71
302;72
317;73
318;74
321;75
346;76
348;77
352;78
356;79
359;80
360;81
361;82
368;83
374;84
375;85
379;86
384;87
387;88
389;89
390;90
392;91
405;92
408;93
414;94
416;95
418;96
419;97
428;98
430;99
432;100
433;101
435;102
437;103
444;104
446;105
447;106
449;107
450;108
451;109
452;110
454;111
455;112
456;113
458;114
465;115
474;116
489;117
510;118
514;119
516;120
529;121
533;122
541;123
543;124
