"Id_Sub_or";"Id_Sub_new"
2;1
6;2
10;3
15;4
16;5
17;6
20;7
24;8
25;9
30;10
34;11
37;12
39;13
41;14
55;15
57;16
58;17
59;18
61;19
64;20
66;21
67;22
68;23
70;24
73;25
75;26
81;27
83;28
85;29
86;30
100;31
104;32
111;33
113;34
117;35
124;36
126;37
133;38
134;39
137;40
138;41
141;42
143;43
148;44
149;45
151;46
152;47
155;48
160;49
162;50
167;51
168;52
173;53
178;54
182;55
184;56
185;57
186;58
189;59
191;60
192;61
193;62
195;63
197;64
198;65
199;66
203;67
204;68
205;69
206;70
207;71
208;72
209;73
210;74
212;75
215;76
220;77
221;78
223;79
224;80
225;81
226;82
227;83
229;84
233;85
235;86
238;87
244;88
251;89
252;90
256;91
257;92
261;93
265;94
267;95
269;96
270;97
271;98
272;99
276;100
280;101
282;102
283;103
284;104
285;105
288;106
289;107
290;108
292;109
293;110
294;111
295;112
296;113
297;114
298;115
299;116
300;117
301;118
302;119
303;120
304;121
306;122
307;123
